IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.75.152,80,80,false,SIN,Asia Pacific,Singapore,67,0.00
47.237.95.13,80,80,false,SIN,Asia Pacific,Singapore,60,0.00
8.217.49.34,2086,2086,false,HKG,Asia Pacific,Hong Kong,22,0.00
47.245.102.52,8080,8080,false,SIN,Asia Pacific,Singapore,52,0.00
47.236.93.176,8080,8080,false,SIN,Asia Pacific,Singapore,57,0.00
47.236.87.246,2082,2082,false,SIN,Asia Pacific,Singapore,59,0.00
47.236.130.95,8080,8080,false,SIN,Asia Pacific,Singapore,58,0.00
8.217.54.204,80,443,true,SIN,Asia Pacific,Singapore,22,0.00
47.237.125.8,2082,2082,false,SIN,Asia Pacific,Singapore,56,0.00
47.236.165.25,2082,2082,false,SIN,Asia Pacific,Singapore,58,0.00
8.219.198.139,2087,2087,true,SIN,Asia Pacific,Singapore,59,0.00
8.222.137.192,8080,8080,false,SIN,Asia Pacific,Singapore,58,0.00
47.237.121.38,80,80,false,SIN,Asia Pacific,Singapore,57,0.00
47.237.81.112,2095,2095,false,SIN,Asia Pacific,Singapore,54,0.00
47.245.118.70,8080,8080,false,SIN,Asia Pacific,Singapore,55,0.00
47.236.166.131,8080,8080,false,SIN,Asia Pacific,Singapore,56,0.00
47.236.150.13,80,80,false,SIN,Asia Pacific,Singapore,56,0.00
8.219.99.169,80,80,false,SIN,Asia Pacific,Singapore,55,0.00
8.219.106.156,8080,8080,false,SIN,Asia Pacific,Singapore,59,0.00
47.245.84.124,8080,8080,false,SIN,Asia Pacific,Singapore,57,0.00
8.222.193.65,80,80,false,SIN,Asia Pacific,Singapore,51,0.00
47.245.118.70,80,80,false,SIN,Asia Pacific,Singapore,54,0.00
47.238.6.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,24,0.00
8.219.106.156,2052,2052,false,SIN,Asia Pacific,Singapore,57,0.00
8.210.175.109,80,80,false,HKG,Asia Pacific,Hong Kong,32,0.00
