IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.111.147,2095,2095,false,SIN,Asia Pacific,Singapore,119,0.60
47.236.117.48,2052,2052,false,SIN,Asia Pacific,Singapore,59,0.59
47.236.189.92,2083,2083,true,SIN,Asia Pacific,Singapore,91,0.59
47.236.144.208,2083,2083,true,SIN,Asia Pacific,Singapore,67,0.58
47.236.145.85,2095,2095,false,SIN,Asia Pacific,Singapore,118,0.58
8.219.77.222,2086,2086,false,SIN,Asia Pacific,Singapore,55,0.57
8.222.146.222,2086,2086,false,SIN,Asia Pacific,Singapore,119,0.56
47.237.100.206,8880,8880,false,SIN,Asia Pacific,Singapore,76,0.56
47.236.75.152,2095,2095,false,SIN,Asia Pacific,Singapore,104,0.55
47.236.118.216,2083,2083,true,SIN,Asia Pacific,Singapore,131,0.55
8.219.199.220,2083,2083,true,SIN,Asia Pacific,Singapore,56,0.55
8.219.99.169,2095,2095,false,SIN,Asia Pacific,Singapore,59,0.54
8.222.193.65,8880,8880,false,SIN,Asia Pacific,Singapore,86,0.53
47.245.86.230,8443,8443,true,SIN,Asia Pacific,Singapore,54,0.53
8.219.198.139,2086,2086,false,SIN,Asia Pacific,Singapore,106,0.53
47.236.172.95,2086,2086,false,SIN,Asia Pacific,Singapore,60,0.52
47.236.10.182,2096,2096,true,SIN,Asia Pacific,Singapore,79,0.52
47.236.10.100,2082,2082,false,SIN,Asia Pacific,Singapore,127,0.51
47.245.86.230,2096,2096,true,SIN,Asia Pacific,Singapore,96,0.50
47.237.95.146,2082,2082,false,SIN,Asia Pacific,Singapore,82,0.50
47.237.14.220,2096,2096,true,SIN,Asia Pacific,Singapore,154,0.49
8.219.107.135,2082,2082,false,SIN,Asia Pacific,Singapore,79,0.49
8.219.177.205,2086,2086,false,SIN,Asia Pacific,Singapore,78,0.48
47.245.84.124,2083,2083,true,SIN,Asia Pacific,Singapore,135,0.48
47.237.86.185,8880,8880,false,SIN,Asia Pacific,Singapore,60,0.48
8.219.42.72,8880,8880,false,SIN,Asia Pacific,Singapore,65,0.47
47.236.170.225,2087,2087,true,SIN,Asia Pacific,Singapore,59,0.46
47.237.125.8,2082,2082,false,SIN,Asia Pacific,Singapore,96,0.46
47.76.249.116,80,443,true,SIN,Asia Pacific,Singapore,28,0.46
8.219.87.30,8880,8880,false,SIN,Asia Pacific,Singapore,92,0.45
47.237.82.15,2053,2053,true,SIN,Asia Pacific,Singapore,56,0.45
47.236.170.54,2086,2086,false,SIN,Asia Pacific,Singapore,60,0.44
8.222.144.50,2086,2086,false,SIN,Asia Pacific,Singapore,98,0.44
47.236.202.91,2096,2096,true,SIN,Asia Pacific,Singapore,131,0.42
47.236.63.152,443,443,true,SIN,Asia Pacific,Singapore,68,0.42
8.219.142.191,2083,2083,true,SIN,Asia Pacific,Singapore,64,0.42
8.219.139.13,2086,2086,false,SIN,Asia Pacific,Singapore,132,0.42
47.236.169.164,2095,2095,false,SIN,Asia Pacific,Singapore,121,0.42
47.236.80.110,2082,2082,false,SIN,Asia Pacific,Singapore,63,0.42
47.237.83.20,2053,2053,true,SIN,Asia Pacific,Singapore,122,0.42
8.219.177.205,2083,2083,true,SIN,Asia Pacific,Singapore,62,0.41
47.237.81.112,2082,2082,false,SIN,Asia Pacific,Singapore,58,0.41
47.236.202.91,2053,2053,true,SIN,Asia Pacific,Singapore,69,0.41
47.236.166.131,8880,8880,false,SIN,Asia Pacific,Singapore,124,0.40
8.222.179.231,8880,8880,false,SIN,Asia Pacific,Singapore,88,0.40
47.237.11.182,2053,2053,true,SIN,Asia Pacific,Singapore,62,0.40
8.219.111.147,2087,2087,true,SIN,Asia Pacific,Singapore,59,0.39
47.236.165.25,2083,2083,true,SIN,Asia Pacific,Singapore,57,0.39
